x,y
0.0,6.0
14.61252988811576,6.0
120.05413677362303,57.00000002531233
125.27919654985455,57.00000002531233
230.7208034353618,6.0
233.33333332347758,6.0
235.94586321159335,6.0
341.3874700971006,57.00000002531233
346.61252987333216,57.00000002531233
452.05413675883943,6.0
454.6666666469552,6.0
457.2791965350709,6.0
562.7208034205782,57.00000002531233
567.9458631968098,57.00000002531233
673.3874700823171,6.0
675.9999999704329,6.0
675.9999999704329,-6.0
673.3874700823171,-6.0
567.9458631968098,-57.00000002531233
562.7208034205782,-57.00000002531233
457.2791965350709,-6.0
454.6666666469552,-6.0
452.05413675883943,-6.0
346.61252987333216,-57.00000002531233
341.3874700971006,-57.00000002531233
235.94586321159335,-6.0
233.33333332347758,-6.0
230.7208034353618,-6.0
125.27919654985455,-57.00000002531233
120.05413677362303,-57.00000002531233
14.61252988811576,-6.0
0.0,-6.0
0.0,-69.0
688.0,-69.0
688.0,69.0
0.0,69.0
